date,p_0,p_1
2001-05-08,0.9529370732951141,0.04706292670488445
2001-05-09,0.08700875383872925,0.9129912461612714
2001-05-10,0.9454856329261629,0.054514367073836695
2001-05-11,0.9155008298842189,0.08449917011578245
2001-05-14,0.926353841779654,0.07364615822034677
2001-05-15,0.945220066304447,0.054779933695552945
2001-05-16,0.3558768878688029,0.6441231121311974
2001-05-17,0.9140510607138008,0.08594893928620001
2001-05-18,0.8927005327819582,0.10729946721804236
2001-05-21,0.9225997110277124,0.07740028897228647
2001-05-22,0.7841634546414773,0.21583654535852326
2001-05-23,0.8164565892960496,0.18354341070395108
2001-05-24,0.909162580580128,0.09083741941987203
2001-05-25,0.596813788810781,0.40318621118921943
2001-05-29,0.9333983559758813,0.06660164402411883
2001-05-30,0.6323796653570537,0.3676203346429464
2001-05-31,0.9509837781165997,0.0490162218833991
2001-06-01,0.9563463556456604,0.043653644354338564
2001-06-04,0.9624038627956171,0.03759613720438394
2001-06-05,0.9392470849283248,0.06075291507167548
2001-06-06,0.8940209799386276,0.10597902006137377
2001-06-07,0.9540871929951146,0.04591280700488541
2001-06-08,0.7083515577860104,0.291648442213991
2001-06-11,0.8473325654145893,0.15266743458541063
2001-06-12,0.8251066981833215,0.17489330181667778
2001-06-13,0.9538490093362841,0.04615099066371648
2001-06-14,0.5501058381054738,0.4498941618945258
2001-06-15,0.94844740831364,0.05155259168636031
2001-06-18,0.9493770043577514,0.05062299564224753
2001-06-19,0.9665592093889217,0.03344079061107783
2001-06-20,0.9462446278048299,0.05375537219517049
2001-06-21,0.9165242326316128,0.08347576736838784
2001-06-22,0.9469503560347192,0.05304964396528099
